Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
1,125377.8458,94315.25992,49853.92253,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
2,123482.4609,91270.95694,48177.56098,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
3,125169.0407,92175.57897,48597.64212,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
4,128508.9127,92443.80399,48618.44803,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
5,134457.3347,96745.60297,51409.41167,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
6,152393.3853,106860.6438,56744.64037,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
7,161689.749,112014.0317,61997.6362,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
8,158905.6817,117740.5849,66810.73574,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
9,157167.6571,120902.1726,69259.88808,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
10,159021.6845,122266.7546,69883.0745,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
11,151725.6126,114345.4477,66485.76731,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
12,148816.4641,115021.6195,67474.54321,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
13,143668.9659,110224.1652,65189.85661,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
14,137523.8435,105857.0947,63032.97771,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
15,134325.1923,104151.8771,62144.2683,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
16,134674.2095,105815.2802,63259.86115,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
17,138349.9852,110308.8141,66318.3293,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
18,144969.206,112735.0777,66866.21816,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
19,145314.1882,111047.1978,65213.63478,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
20,138670.7582,105455.2671,61904.50501,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
21,130577.7975,99843.9589,58580.51387,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
22,123640.8299,94036.83623,54298.46031,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
23,120159.7371,91744.17523,52385.30773,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
24,117983.9281,87276.13792,50888.27327,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
25,114589.5852,84122.70918,48605.56818,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
26,112826.3426,81494.51193,46873.72421,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
27,114431.2162,82212.4983,47164.01614,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
28,117093.2283,82506.21999,47091.69085,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
29,120720.5855,84883.52996,48240.96945,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
30,136150.9756,92982.29376,52188.14701,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
31,138951.1823,94990.41187,55805.40234,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
32,140387.5996,100674.1306,60016.12137,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
33,142065.101,104794.3933,62948.76333,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
34,143654.8438,106494.5116,63980.1418,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
35,137598.4888,101192.2231,60329.20071,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
36,136422.3213,101955.0836,61156.48316,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
37,133072.3621,97845.01959,58818.29565,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
38,128746.9706,94465.18037,56590.08221,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
39,126827.3765,93300.49226,55719.20644,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
40,127729.1721,94770.1206,56736.71431,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
41,130090.5857,97556.39723,59463.27873,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
42,137397.7535,103276.8312,61716.2611,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
43,137670.1079,100041.8131,59605.9478,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
44,129611.4437,93760.45228,56110.55562,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
