time,MA_battery_discharge_edge,MA_battery_charge_edge,CT_battery_discharge_edge,CT_battery_charge_edge,ME_battery_discharge_edge,ME_battery_charge_edge,MA_natural_gas_combined_cycle_elec_edge,MA_natural_gas_combined_cycle_fuel_edge,MA_natural_gas_combined_cycle_co2_edge,CT_natural_gas_combined_cycle_elec_edge,CT_natural_gas_combined_cycle_fuel_edge,CT_natural_gas_combined_cycle_co2_edge,ME_natural_gas_combined_cycle_elec_edge,ME_natural_gas_combined_cycle_fuel_edge,ME_natural_gas_combined_cycle_co2_edge,MA_to_CT_transmission_edge,MA_to_ME_transmission_edge,MA_solar_pv_edge,CT_onshore_wind_edge,CT_solar_pv_edge,ME_onshore_wind_edge
1,0.0,26.659236937516198,638.6439972464018,0.0,0.0,-0.0,-0.0,-0.0,-0.0,572.7275368462133,1195.0910889389272,216.36913250802777,0.0,-0.0,-0.0,-4004.554013890144,-4000.0,-0.0,5035.182479797529,-0.0,5070.0
2,0.0,429.4323383518521,22.125630246147807,0.0,0.0,-0.0,-0.0,-0.0,-0.0,572.7275368462133,1195.0910889389272,216.36913250802777,0.0,-0.0,-0.0,-3981.037727720024,-4000.0,-0.0,5506.184560627663,-0.0,5012.0
3,0.0,870.9198332228244,0.0,569.4632163683445,0.0,-0.0,-0.0,-0.0,-0.0,572.7275368462133,1195.0910889389272,216.36913250802777,0.0,-0.0,-0.0,-4107.0762318789,-4000.0,-0.0,6132.8119114010315,-0.0,4969.0
4,0.0,870.9198332228244,0.0,363.10115879226356,0.0,252.13700909715763,-0.0,-0.0,-0.0,572.7275368462133,1195.0910889389272,216.36913250802777,-0.0,-0.0,-0.0,-3945.08276670136,-4000.0,-0.0,5719.45638864741,-0.0,5199.137009097158
5,-0.0,0.0,0.0,0.0,0.0,887.8318508463968,0.0,-0.0,-0.0,1642.2198752269496,5281.422775040148,956.1922725556988,-0.0,-0.0,-0.0,-3038.0005272948038,-4000.0,-0.0,3372.780652067854,-0.0,5831.831850846396
6,0.0,0.0,0.0,0.0,0.0,821.8947113008671,0.0,-0.0,-0.0,3013.7640440736022,6288.719018244145,1138.5614796712428,0.0,-0.0,-0.0,-3162.5330036500372,-4000.0,-0.0,2160.768959576435,-0.0,5781.894711300867
7,0.0,0.0,0.0,0.0,0.0,252.1958296056855,0.0,-0.0,-0.0,2922.7816908583077,6098.869233515724,1104.1895112006257,0.0,-0.0,0.0,-3427.797302878259,-4000.0,-0.0,2592.0156120199513,-0.0,5248.1958296056855
8,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,2679.853388847468,5591.959000802093,1012.4143081831963,0.08089410687822496,0.3732780901247605,0.0675813394410434,-3870.6256434833444,-3795.60386235675,-0.0,3344.7722546358764,-0.0,4824.522968249872
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3010.8337200014466,6282.604410579879,1137.4544407449305,0.12639704199722648,0.4674866522481817,0.0846376333504652,-3870.5319659376323,-2835.981894209897,1342.8542295721604,2909.539013570513,219.15923236567284,3918.8554971678996
10,870.9198332228244,0.0,437.98746717527274,0.0,547.165502667591,0.0,217.75587462151452,673.5984324227637,121.95380739679234,5545.110466941165,11973.163619482428,2167.720142591139,0.12639704199722648,0.4674866522481817,0.0846376333504652,-4063.0750143258724,-0.0,3238.2488166748553,0.1342844952533689,461.8427957141812,589.7081002904117
11,203.58879009923703,0.0,0.0,0.0,887.8318508463967,0.0,449.93218670025,1343.8176523590987,243.2958143366856,5545.110466941165,11570.793579640285,2094.8717569963956,0.12639704199722648,0.4674866522481817,0.0846376333504652,-3728.277493231613,96.71940732052691,4338.800512411904,0.40197003513343976,631.7650562553146,186.22325322448737
12,81.9687558193327,0.0,0.0,0.0,438.9825233655432,0.0,655.545090672247,1427.461267593259,258.43934325724587,5545.110466941165,11570.793579640285,2094.8717569963956,0.12639704199722648,0.4674866522481817,0.0846376333504652,-3787.802524009961,707.064506211339,4894.360216158452,5.053690964785338,711.638366104012,48.7231110053288
