Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,SE_CCGT-H2,MIDAT_CCGT-H2,NE_CCGT-H2,SE_OCGT-H2,MIDAT_OCGT-H2,NE_OCGT-H2,SE_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS,NE_Large_SMR_Non_CCS,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Solvent_DAC,MIDAT_Solvent_DAC,NE_Solvent_DAC,SE_Sorbent_DAC,MIDAT_Sorbent_DAC,NE_Sorbent_DAC,SE_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb,NE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood,NE_BECCS_Electricity_Wood,SE_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb,NE_BECCS_H2_Herb,SE_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood,NE_BECCS_H2_Wood,SE_Bio_Gasoline_Herb,MIDAT_Bio_Gasoline_Herb,NE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Wood,MIDAT_Bio_Gasoline_Wood,NE_Bio_Gasoline_Wood,SE_Bio_FT_Herb,MIDAT_Bio_FT_Herb,NE_Bio_FT_Herb,SE_Bio_FT_Wood,MIDAT_Bio_FT_Wood,NE_Bio_FT_Wood,SE_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb,NE_BECCS_FT_Herb,SE_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood,NE_BECCS_FT_Wood,SE_Bio_NaturalGas_Herb,MIDAT_Bio_NaturalGas_Herb,NE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Wood,MIDAT_Bio_NaturalGas_Wood,NE_Bio_NaturalGas_Wood,SE_BECCS_NaturalGas_Herb,MIDAT_BECCS_NaturalGas_Herb,NE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Wood,MIDAT_BECCS_NaturalGas_Wood,NE_BECCS_NaturalGas_Wood,SE_Synthetic_NaturalGas,MIDAT_Synthetic_NaturalGas,NE_Synthetic_NaturalGas,SE_Synthetic_FT,MIDAT_Synthetic_FT,NE_Synthetic_FT
1,0.249490884,0.65337885,0.249490884,0,0.605087482,0.559868396,0.605087482,0,0.327742991,0.327742991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746191042,0.737828396,0.769311536,0.796300535,0.671871027,0.419762559,0.570484662,0.769964933,0.387954334,0.430327563,0.497182786,0.804053328,0.712080133,0.474955962,0.752587621,0.453660517,0.551394946,0.340043644,0.451770796,0.732162596,0.457217146,0.681545252,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.249490884,0.664384241,0.249490884,0,0.605087482,0.594103592,0.605087482,0,0.327742991,0.327742991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726818344,0.748943791,0.773495322,0.790818148,0.658352257,0.489217148,0.644827674,0.762230616,0.457628417,0.400401841,0.587557639,0.800588487,0.720021342,0.513191764,0.748900672,0.525664849,0.583218682,0.413385741,0.490414049,0.736040356,0.56005043,0.701223321,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.249490884,0.675487461,0.249490884,0,0.605087482,0.625776119,0.605087482,0,0.327742991,0.327742991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696824112,0.751328311,0.766077401,0.783098424,0.634458115,0.56470473,0.69117656,0.750557504,0.5302281,0.422828562,0.597217747,0.795697013,0.72665723,0.548567891,0.745986822,0.589824206,0.589546174,0.478986243,0.542803734,0.742318276,0.609056762,0.714157537,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.249490884,0.687586023,0.249490884,0,0.605087482,0.650493568,0.605087482,0,0.327742991,0.327742991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664814738,0.747051348,0.755766188,0.772702734,0.6049553,0.631073676,0.709485137,0.733337502,0.680457972,0.4445242,0.592443108,0.792283886,0.734578472,0.584876159,0.744892438,0.636539973,0.603720231,0.529844828,0.580909937,0.747383896,0.657564326,0.721712343,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.249490884,0.701744964,0.249490884,0,0.605087482,0.67240019,0.605087482,0,0.327742991,0.327742991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621761344,0.738064097,0.740881993,0.762368015,0.571303982,0.680505774,0.70420782,0.708111305,0.721013926,0.472435759,0.619406034,0.789815693,0.744514261,0.61983148,0.74931061,0.665444269,0.620868391,0.573232245,0.616078901,0.752876239,0.727737884,0.728391786,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.249490884,0.715900109,0.249490884,0,0.605087482,0.686829814,0.605087482,0.001491217,0.327742991,0.327742991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002386589,0.003883937,0,0,0.002369039,0,0.571933933,0.712549013,0.719793989,0.751599713,0.518895957,0.704291494,0.688724969,0.669951918,0.670469455,0.502730855,0.63006236,0.790144589,0.748069511,0.657353275,0.759679985,0.695342745,0.650290246,0.601625976,0.629758263,0.754614508,0.772032295,0.738795125,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.249490884,0.730542265,0.249490884,0.05708505,0.605087482,0.694307427,0.605087482,0.083517349,0.327742991,0.327742991,0.076513105,1,0.037143037,0.13077237,0.083202493,0.017859993,0.012073822,0.152010243,0.12487653,0.022414221,0.096350609,0.103571257,0.088299276,0.01724497,0.040424631,0.117443984,0.01863289,0.075940276,0.13257639,0.130356253,0.118004014,0.028373,0.116310445,0.068278217,0.520562233,0.68551777,0.695785123,0.739993427,0.463545139,0.705578661,0.659282156,0.630660102,0.664930684,0.525723202,0.663743884,0.794448696,0.754234935,0.689409152,0.768593609,0.706449047,0.696565909,0.614341903,0.640809296,0.752485525,0.788303572,0.746610837,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.249490884,0.725365747,0.249490884,0.299280272,0.605087482,0.679273861,0.605087482,0.250371177,0.327742991,0.327742991,0.531378319,1,0.484361202,0.625850109,0.613013736,0.35274899,0.352799007,0.691232278,0.667623544,0.3892484,0.54692117,0.381261314,0.419447158,0.267224894,0.178605398,0.556217637,0.063346018,0.268392216,0.383670388,0.349010586,0.387207358,0.126764435,0.295156381,0.128081723,0.435316098,0.586888251,0.593586075,0.715527919,0.410559013,0.575119085,0.470964866,0.573665535,0.517219402,0.526857542,0.66148413,0.798218258,0.760152473,0.6638075,0.764712708,0.653911725,0.684782244,0.582857422,0.597473878,0.75507616,0.771017457,0.74697251,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.249490884,0.658558615,0.249490884,0.480852113,0.605087482,0.625171349,0.605087482,0.341212449,0.327742991,0.327742991,0.85792419,1,0.875179332,0.82651333,0.902511794,0.810383839,0.832689427,0.879269762,0.891953327,0.827955813,0.580118087,0.569989371,0.592411251,0.617784335,0.235688802,0.768368374,0.166691149,0.402849922,0.434979708,0.430352293,0.419179148,0.232865037,0.445913648,0.256959247,0.142667193,0.297856307,0.243366609,0.492548029,0.20497174,0.300080101,0.147533707,0.255152943,0.285626424,0.466016608,0.575875364,0.769231139,0.728179941,0.516752511,0.71909081,0.520893731,0.607712619,0.495955608,0.512386911,0.73560768,0.678634173,0.722346172,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
10,0.249490884,0.653370602,0.249490884,0.507669635,0.605087482,0.626047657,0.605087482,0.390645644,0.327742991,0.327742991,0.866093705,1,0.884214522,0.860393238,0.886414082,0.854472643,0.885886093,0.844165217,0.864229558,0.859320318,0.518946868,0.625677225,0.474466623,0.611374128,0.311279444,0.694634435,0.347001997,0.480976692,0.473364761,0.404654907,0.489690079,0.310831697,0.531326362,0.430143835,0.062404021,0.255938724,0.208031132,0.219781728,0.021994028,0.326743563,0.144969354,0.083564885,0.366307903,0.490820946,0.641484232,0.67143632,0.750782324,0.582951837,0.684951433,0.476460108,0.628243549,0.47260286,0.516455663,0.755657068,0.598129609,0.721357927,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
