elec_demand_MA,elec_demand_CT,elec_demand_ME
10497.32658,2998.089961,1430.845789
9927.662743,2834.946796,1353.285924
9503.757963,2713.258042,1295.784644
9289.799714,2653.082285,1266.365385
9256.368738,2643.721611,1262.353668
9420.849142,2690.524978,1283.749493
9771.205774,2790.817907,1331.890099
10088.13143,2880.412924,1376.018987
10625.70153,3034.195415,1448.229896
11152.57372,3185.303429,1520.440805
11470.83661,3274.898445,1563.232455
11588.51365,3308.329422,1579.279324
11643.34045,3325.713529,1587.302758
11540.37304,3294.957031,1572.593129
11425.37048,3262.863294,1557.883499
11492.23244,3281.584641,1565.906933
12611.50153,3601.184775,1719.689425
13673.26934,3904.73804,1864.111242
13593.03499,3882.004976,1853.41333
13177.15365,3764.327939,1795.912051
12690.39863,3623.917839,1730.387337
12011.08119,3430.018176,1638.117842
11169.95783,3189.315146,1523.115283
10227.20429,2920.530096,1393.403095
9428.872576,2691.862217,1285.086732
8944.792038,2554.126595,1219.562018
8712.112442,2488.601881,1187.468281
8659.960119,2472.555012,1180.782085
8849.848065,2527.381814,1206.189627
9333.928603,2665.117436,1271.714341
10060.04941,2872.38949,1370.670031
10655.12079,3042.21885,1452.241614
11383.91607,3250.828142,1552.534543
12131.43271,3464.786391,1652.827472
12679.70072,3621.243361,1727.712859
12904.35688,3684.093596,1759.806596
12884.29829,3678.74464,1755.794879
12800.05223,3656.011576,1745.096967
12759.93506,3643.976424,1739.74801
12953.83472,3698.803226,1766.492791
14169.38503,4046.48538,1930.973195
15398.30772,4398.179251,2099.465316
15263.24657,4359.399319,2080.743969
14894.16859,4253.757434,2031.266124
14292.41102,4081.253595,1948.357303
13344.30853,3811.131306,1818.645115
12168.8754,3475.484304,1659.513667
11104.43311,3171.931038,1513.75461
10398.37089,2970.007941,1417.473398
10046.67702,2868.377773,1369.332792
9876.847659,2820.237167,1346.599728
9896.906245,2826.923362,1349.274206
10252.61183,2927.216291,1397.414812
11306.35621,3228.095078,1540.499391
13169.13021,3760.316222,1795.912051
14213.51391,4058.520532,1937.65939
14390.02947,4109.335616,1961.729693
14488.98516,4137.417636,1975.102084
14618.69735,4174.860329,1992.486192
14642.76765,4181.546525,1996.497909
14582.59189,4165.499656,1988.474475
14562.53331,4160.1507,1984.462757
14507.70651,4142.766592,1977.776562
14708.29236,4200.267871,2004.521343
15856.98071,4527.89144,2160.978313
17111.31095,4886.271506,2333.482151
17144.74192,4895.63218,2337.493868
16855.89829,4814.060598,2298.713935
16307.63027,4657.603628,2223.828548
15346.15539,4382.132383,2092.779121
14061.06866,4015.728882,1917.600805
12936.45062,3694.791509,1763.818313
12237.07459,3495.542889,1667.537101
11869.33385,3389.901004,1618.059256
11682.12038,3336.411442,1592.651714
11703.51621,3341.760398,1595.326192
12021.7791,3434.029893,1639.455081
13015.34772,3717.524573,1774.516226
14821.95768,4233.698848,2020.568212
15806.16563,4514.519049,2154.292117
15824.88698,4519.868005,2158.303835
15783.43256,4507.832854,2151.617639
15748.66435,4497.134942,2146.268683
15593.54462,4453.006053,2126.210097
15370.2257,4390.155817,2095.453599
15237.83903,4352.713124,2078.069491
15118.82475,4317.944908,2060.685384
15275.28172,4362.073797,2082.081208
16342.39849,4668.301541,2227.840265
17211.60388,4915.690766,2346.854541
17079.21721,4876.910833,2328.133195
16680.71997,4763.245513,2274.643632
16042.85694,4581.381002,2186.385855
14986.43809,4280.502215,2043.301276
13641.1756,3896.714606,1860.099525
12396.20604,3541.009017,1690.270165
11601.88604,3313.678378,1580.616563
11176.64402,3191.989624,1524.452523
10962.68577,3130.476627,1493.696024
10922.5686,3119.778715,1489.684307
11203.3888,3200.013058,1527.127001
12122.07203,3462.111913,1652.827472
13868.50624,3960.902081,1890.856024
14891.49411,4253.757434,2029.928885
14999.81048,4284.513932,2045.975754
15066.67243,4303.235279,2053.999188
14998.47324,4283.176693,2045.975754
14788.52671,4224.338174,2016.556495
14606.6622,4170.848612,1991.148953
14534.45129,4150.790026,1981.788279
14419.44873,4118.696289,1965.741411
14513.05546,4145.44107,1977.776562
15434.41317,4407.539925,2104.814272
16444.02866,4696.383561,2241.212656
16383.8529,4678.999453,2234.526461
16012.10044,4573.357568,2182.374138
15414.35459,4402.190969,2100.802555
14426.13492,4120.033528,1967.07865
13098.25654,3740.257636,1785.214138
11950.90543,3413.971307,1628.757169
11200.71432,3198.675819,1525.789762
10792.85641,3082.336021,1470.96296
10584.24712,3022.160264,1442.88094
10532.0948,3007.450634,1436.194745
10788.84469,3080.998782,1470.96296
11700.84173,3341.760398,1595.326192
13415.1822,3831.189892,1829.343027
14442.18179,4125.382484,1969.753128
14562.53331,4158.813461,1984.462757
14577.24294,4162.825178,1987.137236
14513.05546,4145.44107,1977.776562
14297.75997,4082.590834,1949.694542
14061.06866,4015.728882,1917.600805
13938.04267,3979.623427,1900.216697
13744.14301,3924.796626,1873.471916
13809.66772,3944.855212,1882.832589
14616.02287,4173.52309,1992.486192
15387.6098,4394.167534,2098.128077
15140.22058,4324.631103,2064.697101
14704.28065,4198.930632,2004.521343
14122.58166,4033.112989,1925.624239
13364.36711,3817.817502,1822.656832
12334.69304,3523.62491,1680.909492
11275.59971,3220.071644,1537.824913
10455.87217,2987.392049,1425.496832
10002.54813,2856.342621,1363.983836
9756.496144,2785.468951,1329.215621
9656.203215,2758.72417,1315.84323
9752.484427,2785.468951,1329.215621
10124.23688,2891.110837,1380.030705
10795.53089,3082.336021,1470.96296
11502.93035,3284.259119,1567.244172
12226.37668,3491.531172,1667.537101
12664.99109,3615.894404,1726.37562
12788.01708,3651.999859,1742.422488
12685.04967,3622.5806,1729.050098
12452.37008,3555.718647,1696.956361
12188.93399,3480.83326,1660.850906
12003.05776,3428.680937,1636.780603
12131.43271,3464.786391,1652.827472
13019.35944,3717.524573,1775.853465
13911.29789,3971.599993,1896.20498
13746.81748,3926.133865,1874.809155
13305.5286,3800.433394,1814.633397
12888.31001,3680.081879,1757.132118
12285.2152,3508.91528,1674.223297
11496.24415,3282.92188,1567.244172
10628.37601,3035.532655,1449.567135
9900.917962,2826.923362,1350.611445
9479.68766,2706.571847,1291.772927
9229.623957,2635.698177,1258.341951
9162.762004,2616.97683,1248.981277
9232.298435,2637.035416,1258.341951
9501.083485,2713.258042,1295.784644
10021.26948,2861.691577,1365.321075
10565.52577,3016.811308,1440.206462
11323.74032,3233.444035,1543.173869
11909.45102,3401.936156,1623.408213
12279.86624,3507.578041,1674.223297
12511.2086,3573.102755,1706.317034
12551.32577,3583.800667,1711.66599
12481.78934,3563.742081,1700.968078
12437.66045,3551.70693,1695.619122
12611.50153,3602.522014,1719.689425
13693.32792,3911.424235,1866.785721
14817.94597,4232.361609,2020.568212
14795.2129,4225.675413,2017.893734
14414.09977,4116.021811,1964.404172
13913.97237,3972.937232,1896.20498
13092.90759,3738.920397,1785.214138
12012.41843,3430.018176,1638.117842
11066.99042,3161.233126,1508.405654
10447.84874,2983.380331,1424.159593
10149.64443,2899.134271,1384.042422
10038.65358,2867.040534,1369.332792
10077.43352,2877.738446,1373.344509
10441.16254,2982.043092,1424.159593
11489.55796,3281.584641,1565.906933
13376.40227,3820.49198,1822.656832
14466.2521,4132.06868,1972.427606
14573.23122,4161.487939,1987.137236
14587.94085,4165.499656,1988.474475
14579.91742,4164.162417,1988.474475
14455.55418,4128.056962,1971.090367
14210.83944,4058.520532,1937.65939
14058.39418,4014.391643,1917.600805
13861.82004,3958.227602,1890.856024
13908.62341,3971.599993,1896.20498
14844.69075,4239.047804,2024.579929
16105.70718,4600.102349,2195.746528
16066.92724,4588.067197,2190.397572
15636.33627,4465.041204,2131.559053
15010.50839,4285.851171,2045.975754
13978.15984,3991.658579,1905.565653
12663.65385,3615.894404,1726.37562
11500.25587,3284.259119,1567.244172
10736.69237,3066.289153,1464.276765
10356.91648,2957.972789,1410.787203
10148.30719,2897.797032,1384.042422
10133.59756,2893.785315,1381.367944
10426.45291,2978.031375,1421.485115
11394.61399,3254.83986,1552.534543
13229.30597,3777.70033,1803.935485
