Time_Index,NE_utilitypv_class1_moderate_70_0_2_6,NE_landbasedwind_class4_moderate_70_7
1,0,0.596095068
2,0,0.608124891
3,0,0.601659611
4,0,0.582438362
5,0,0.557826682
6,0,0.532483579
7,0.003429793,0.520139707
8,0.18769735,0.51293597
9,0.499359605,0.500228188
10,0.527880596,0.488067179
11,0.469437276,0.292643135
12,0.45233495,0.154537324
13,0.449978743,0.188686833
14,0.448448358,0.248448825
15,0.427847369,0.302439837
16,0.356163967,0.339510983
17,0.104813288,0.370749405
18,0,0.408041861
19,0,0.401078204
20,0,0.617604409
21,0,0.709147679
22,0,0.748581456
23,0,0.762954755
24,0,0.769055495
25,0,0.772215711
26,0,0.771691006
27,0,0.767289613
28,0,0.764198974
29,0,0.755857763
30,0,0.748806096
31,0.00510231,0.739364811
32,0.261968878,0.733581208
33,0.687137319,0.722274881
34,0.714754182,0.712124218
35,0.655109965,0.511204961
36,0.626542761,0.235621172
37,0.62639134,0.169162944
38,0.653554257,0.133391003
39,0.671497671,0.108414259
40,0.499729799,0.093109411
41,0.101617567,0.081949552
42,0,0.080146762
43,0,0.110012353
44,0,0.213329104
45,0,0.312497662
46,0,0.397714039
47,0,0.477179892
48,0,0.548901027
49,0,0.606582017
50,0,0.661720657
51,0,0.699717118
52,0,0.723488839
53,0,0.728875888
54,0,0.720192068
55,0.003807862,0.702403613
56,0.17667276,0.681868219
57,0.447003414,0.662269735
58,0.448613639,0.646005768
59,0.429278312,0.465971681
60,0.426737216,0.158918033
61,0.422908863,0.099517691
62,0.388926945,0.100282262
63,0.318637449,0.097655904
64,0.183869308,0.093138537
65,0.033520025,0.094635758
66,0,0.102061676
67,0,0.138668615
68,0,0.237120426
69,0,0.288640779
70,0,0.322852809
71,0,0.347554667
72,0,0.380483804
73,0,0.423335197
74,0,0.472668351
75,0,0.483723232
76,0,0.472806724
77,0,0.462474659
78,0,0.467467056
79,2.73E-05,0.47348842
80,0.012255392,0.492807253
81,0.045658313,0.522883566
82,0.087951889,0.543753194
83,0.137911164,0.514950024
84,0.172297578,0.416905746
85,0.182901006,0.317411802
86,0.166748008,0.259840448
87,0.139149063,0.273585558
88,0.091348713,0.292132268
89,0.018434525,0.35150741
90,0,0.404556548
91,0,0.505724272
92,0,0.624414403
93,0,0.671881685
94,0,0.695799758
95,0,0.710913127
96,0,0.72263767
97,0,0.726656202
98,0,0.70066223
99,0,0.682849168
100,0,0.661111666
101,0,0.656756355
102,0,0.650639159
103,0.000163046,0.650015514
104,0.020685878,0.658521912
105,0.098049975,0.636640005
106,0.177520092,0.598100316
107,0.231341692,0.57178774
108,0.293241699,0.533968997
109,0.358103729,0.46046331
110,0.448989469,0.438796017
111,0.57577705,0.461279061
112,0.533330033,0.510051227
113,0.128362505,0.534101947
114,0,0.530432427
115,0,0.471922898
116,0,0.591508492
117,0,0.639473397
118,0,0.640653813
119,0,0.615892863
120,0,0.581693951
121,0,0.56091066
122,0,0.554966628
123,0,0.563787423
124,0,0.563487434
125,0,0.535279536
126,0,0.494897209
127,0.003450024,0.434751296
128,0.118014866,0.387502995
129,0.330497181,0.342307986
130,0.461314293,0.303860257
131,0.44108112,0.228174543
132,0.431535219,0.129938889
133,0.464480349,0.072124935
134,0.460299729,0.041016216
135,0.470576208,0.026981903
136,0.414976598,0.022947334
137,0.103892527,0.018318532
138,0,0.00988812
139,0,0.011993865
140,0,0.024235151
141,0,0.034590875
142,0,0.041597064
143,0,0.049959067
144,0,0.068719902
145,0,0.090952941
146,0,0.125943861
147,0,0.170347985
148,0,0.22588872
149,0,0.299400212
150,0,0.373363961
151,0.000386314,0.439315296
152,0.033102712,0.469192663
153,0.072412837,0.482142163
154,0.097441594,0.49129705
155,0.148076281,0.500726611
156,0.200681627,0.48651959
157,0.243420826,0.468316962
158,0.22695686,0.45605904
159,0.176337251,0.473283122
160,0.126861012,0.484127034
161,0.02914278,0.468961243
162,0,0.44336807
163,0,0.460513687
164,0,0.483964207
165,0,0.49449433
166,0,0.521893709
167,0,0.5465065
168,0,0.576743823
169,0,0.614213811
170,0,0.648937676
171,0,0.673103734
172,0,0.683678513
173,0,0.700351021
174,0,0.707259854
175,0.004171334,0.712109966
176,0.254452074,0.702832943
177,0.693298317,0.690272576
178,0.747447552,0.672208978
179,0.69984929,0.511873632
180,0.660317183,0.352627713
181,0.663752855,0.301881414
182,0.703638671,0.287074814
183,0.745086711,0.286185434
184,0.638450045,0.297915514
185,0.162650644,0.3146302
186,6.67E-08,0.332263569
187,0,0.303688156
188,0,0.464077431
189,0,0.565613581
190,0,0.620217486
191,0,0.645329933
192,0,0.668823622
193,0,0.683245527
194,0,0.696209819
195,0,0.708026056
196,0,0.714597657
197,0,0.721035098
198,0,0.725264623
199,0.005228785,0.728820255
200,0.274483018,0.739576026
201,0.711014176,0.752069208
202,0.74987859,0.761743946
203,0.696171009,0.685281761
204,0.655050559,0.447325838
205,0.662793763,0.476937464
206,0.70090233,0.575690998
207,0.73614209,0.683613682
208,0.63911185,0.745443626
209,0.16615404,0.765733695
210,6.30E-06,0.765969563
211,0,0.684999753
212,0,0.762373794
213,0,0.784752216
214,0,0.786359267
215,0,0.787179237
216,0,0.781177576
217,0,0.777208685
218,0,0.767230172
219,0,0.752929149
220,0,0.732199527
221,0,0.712617651
222,0,0.689741276
223,0.004378501,0.66582545
224,0.264325899,0.638736224
225,0.71246464,0.608693263
226,0.758257506,0.571172225
227,0.703310891,0.258594863
228,0.65592357,0.104224262
229,0.663617178,0.105179535
230,0.701896602,0.099397472
231,0.735449164,0.081305368
232,0.633079821,0.065384074
233,0.167700956,0.05095483
234,0.000106092,0.043057207
235,0,0.060931942
236,0,0.131226125
237,0,0.215798289
238,0,0.330166039
239,0,0.453825005
240,0,0.565785398
241,0,0.632381842
242,0,0.687464731
243,0,0.730594007
244,0,0.757805091
245,0,0.774267748
246,0,0.784509253
247,0.004248202,0.791778027
248,0.25186258,0.795093594
249,0.65300098,0.798025923
250,0.640566095,0.798983049
251,0.544984856,0.713352182
252,0.533797646,0.433167873
253,0.563588177,0.393115873
254,0.575711372,0.421614307
255,0.550844018,0.457399338
256,0.448957016,0.478729424
257,0.113458137,0.49186245
258,7.12E-05,0.492002993
259,0,0.552587745
260,0,0.685224586
261,0,0.732938914
262,0,0.747888124
263,0,0.764894349
264,0,0.777400281
265,0,0.782946074
266,0,0.782947375
267,0,0.780229854
268,0,0.77292819
269,0,0.763824761
270,0,0.746367411
271,0.002233076,0.73322858
272,0.123577094,0.722011166
273,0.369825609,0.696819377
274,0.442551139,0.662379142
275,0.456604987,0.565593573
276,0.443594839,0.394240287
277,0.433582607,0.277060522
278,0.414412874,0.284363323
279,0.36571028,0.305541168
280,0.304940668,0.330820038
281,0.091293231,0.349588514
282,0.000123252,0.351195934
283,0,0.387808076
284,0,0.570625308
285,0,0.662268584
286,0,0.70242732
287,0,0.715802004
288,0,0.714460027
289,0,0.705978894
290,0,0.701584772
291,0,0.694512293
292,0,0.689486189
293,0,0.682543943
294,0,0.673613094
295,0.001691704,0.659819703
296,0.118093351,0.646189261
297,0.40412818,0.62391142
298,0.486620114,0.592358045
299,0.498394093,0.479258005
300,0.498102083,0.282376198
301,0.486157561,0.188063571
302,0.466138188,0.202865736
303,0.398661489,0.240754595
304,0.267590949,0.264714206
305,0.070272834,0.271230138
306,0.000183648,0.26753996
307,0,0.312483049
308,0,0.446635552
309,0,0.522326847
310,0,0.56324518
311,0,0.583557051
312,0,0.582917555
313,0,0.571983999
314,0,0.553602064
315,0,0.539415646
316,0,0.51163992
317,0,0.490711229
318,0,0.459208707
319,0.002202541,0.430381196
320,0.0982502,0.400692763
321,0.295962794,0.378865884
322,0.451028343,0.35925303
323,0.516571373,0.299839659
324,0.50463235,0.183925786
325,0.44172412,0.128395037
326,0.442227924,0.136579015
327,0.434895111,0.172786953
328,0.352003101,0.205023785
329,0.102256879,0.239683246
330,0.000438333,0.253592906
331,0,0.255528757
332,0,0.38727902
333,0,0.488697408
334,0,0.561725005
335,0,0.605009909
336,0,0.630354288
337,0,0.627965319
338,0,0.607999531
339,0,0.579088616
340,0,0.541200229
341,0,0.507535793
342,0,0.481632513
343,0.001183666,0.464743548
344,0.062305274,0.456972748
345,0.148148513,0.445734288
346,0.254707955,0.421174018
347,0.319916418,0.414643126
348,0.320840433,0.344460256
349,0.311550548,0.265546804
350,0.286521019,0.231017813
351,0.234532208,0.213442529
352,0.184987568,0.206177166
353,0.077719603,0.202138814
354,0.000353534,0.180160789
355,0,0.157864196
356,0,0.189850291
357,0,0.231375553
358,0,0.279522054
359,0,0.336662191
360,0,0.379005207
361,0,0.421748759
362,0,0.452348358
363,0,0.482721258
364,0,0.516987184
365,0,0.559956545
366,0,0.595293666
367,0.00012926,0.612337764
368,0.017120483,0.620917926
369,0.065525248,0.622409123
370,0.125532575,0.621475788
371,0.177544496,0.627618358
372,0.195823608,0.626078377
373,0.201001807,0.623445149
374,0.160451761,0.630904158
375,0.13423156,0.640020052
376,0.092735202,0.652573713
377,0.023711302,0.667614186
378,3.36E-05,0.680495547
379,0,0.688607302
380,0,0.689601457
381,0,0.706552278
382,0,0.726765774
383,0,0.719527798
384,0,0.720180886
385,0,0.704114782
386,0,0.685708665
387,0,0.671617358
388,0,0.64815259
389,0,0.614973327
390,0,0.579401997
391,0.001736512,0.548414426
392,0.055727771,0.512663882
393,0.210036745,0.487276316
394,0.356733666,0.486973789
395,0.482468463,0.446599872
396,0.48927302,0.445574533
397,0.386593527,0.40532567
