Time_Index,Demand_MW_z1
1,144711.9988
2,142291.9988
3,139756.9988
4,138273.9988
5,138000.9988
6,139206.9988
7,142097.9988
8,145213.9988
9,149788.9988
10,152516.9988
11,152395.9988
12,151868.9988
13,152321.9988
14,152046.9988
15,150862.9988
16,149463.9988
17,149650.9988
18,154617.9988
19,163167.9988
20,162954.9988
21,160740.9988
22,157082.9988
23,152368.9988
24,146290.9988
25,140829.9988
26,137812.9988
27,137053.9988
28,138108.9988
29,140862.9988
30,146649.9988
31,155828.9988
32,162898.9988
33,168482.9988
34,173136.9988
35,175795.9988
36,176036.9988
37,174637.9988
38,172332.9988
39,170196.9988
40,169462.9988
41,172431.9988
42,183845.9988
43,196656.9988
44,199309.9988
45,198400.9988
46,194805.9988
47,188456.9988
48,181652.9988
49,177079.9988
50,175449.9988
51,175521.9988
52,177997.9988
53,182842.9988
54,193395.9988
55,209638.9988
56,220454.9988
57,220669.9988
58,217930.9988
59,214390.9988
60,209682.9988
61,204161.9988
62,199212.9988
63,195051.9988
64,193113.9988
65,196196.9988
66,209414.9988
67,227046.9988
68,231958.9988
69,232399.9988
70,228844.9988
71,221756.9988
72,214237.9988
73,209434.9988
74,208122.9988
75,208948.9988
76,211036.9988
77,215734.9988
78,225880.9988
79,241098.9988
80,249517.9988
81,244172.9988
82,232036.9988
83,219247.9988
84,207459.9988
85,197380.9988
86,189478.9988
87,183128.9988
88,180151.9988
89,182021.9988
90,192891.9988
91,208007.9988
92,211225.9988
93,210847.9988
94,206944.9988
95,199117.9988
96,190380.9988
97,184097.9988
98,182358.9988
99,182068.9988
100,183935.9988
101,188072.9988
102,197980.9988
103,214753.9988
104,223357.9988
105,217714.9988
106,205609.9988
107,193604.9988
108,184152.9988
109,176850.9988
110,171991.9988
111,167885.9988
112,165313.9988
113,166392.9988
114,174356.9988
115,187598.9988
116,190336.9988
117,189938.9988
118,186361.9988
119,179612.9988
120,172077.9988
121,166900.9988
122,164822.9988
123,165011.9988
124,166623.9988
125,171097.9988
126,180743.9988
127,197284.9988
128,206821.9988
129,202291.9988
130,192517.9988
131,182767.9988
132,175045.9988
133,169321.9988
134,165511.9988
135,162114.9988
136,159692.9988
137,159609.9988
138,165099.9988
139,174969.9988
140,174123.9988
141,171825.9988
142,168561.9988
143,163589.9988
144,156474.9988
145,150655.9988
146,146882.9988
147,144965.9988
148,144275.9988
149,145336.9988
150,148433.9988
151,153659.9988
152,159303.9988
153,163903.9988
154,165798.9988
155,164547.9988
156,162111.9988
157,159474.9988
158,156585.9988
159,154285.9988
160,153239.9988
161,153413.9988
162,158238.9988
163,167044.9988
164,165654.9988
165,162470.9988
166,158430.9988
167,153291.9988
168,146664.9988
169,140831.9988
170,137378.9988
171,135731.9988
172,135467.9988
173,136552.9988
174,139203.9988
175,144065.9988
176,150192.9988
177,156850.9988
178,159830.9988
179,159220.9988
180,157091.9988
181,156646.9988
182,156433.9988
183,155596.9988
184,154814.9988
185,156451.9988
186,161991.9988
187,170607.9988
188,169824.9988
189,167439.9988
190,162413.9988
191,154296.9988
192,145874.9988
193,139007.9988
194,135425.9988
195,134103.9988
196,134224.9988
197,136933.9988
198,144958.9988
199,160200.9988
200,170342.9988
201,169893.9988
202,169889.9988
203,170848.9988
204,171268.9988
205,170785.9988
206,170207.9988
207,169061.9988
208,168450.9988
209,169489.9988
210,174591.9988
211,182950.9988
212,182564.9988
213,177856.9988
214,170198.9988
215,161720.9988
216,152241.9988
217,145034.9988
218,140469.9988
219,138315.9988
220,137945.9988
221,140173.9988
222,147525.9988
223,162014.9988
224,171241.9988
225,170775.9988
226,170246.9988
227,170389.9988
228,169586.9988
229,168891.9988
230,168135.9988
231,167686.9988
232,166991.9988
233,168390.9988
234,174640.9988
235,182669.9988
236,182097.9988
237,178139.9988
238,171802.9988
239,161568.9988
240,151614.9988
241,144326.9988
242,139573.9988
243,137093.9988
244,136147.9988
245,137288.9988
246,144038.9988
247,157796.9988
248,167556.9988
249,167974.9988
250,168554.9988
251,169986.9988
252,170718.9988
253,170377.9988
254,169599.9988
255,168455.9988
256,167990.9988
257,169799.9988
258,175127.9988
259,183410.9988
260,182269.9988
261,178614.9988
262,173073.9988
263,164219.9988
264,154567.9988
265,147360.9988
266,143665.9988
267,142006.9988
268,142060.9988
269,144427.9988
270,152381.9988
271,167573.9988
272,177266.9988
273,176242.9988
274,174854.9988
275,174493.9988
276,173869.9988
277,173374.9988
278,173076.9988
279,172885.9988
280,173220.9988
281,175447.9988
282,182054.9988
283,193022.9988
284,194717.9988
285,193000.9988
286,188043.9988
287,180086.9988
288,171589.9988
289,165436.9988
290,163254.9988
291,163336.9988
292,164689.9988
293,168742.9988
294,178371.9988
295,194510.9988
296,205599.9988
297,206149.9988
298,204161.9988
299,201889.9988
300,197870.9988
301,193504.9988
302,189274.9988
303,185629.9988
304,183225.9988
305,184916.9988
306,192612.9988
307,203589.9988
308,204213.9988
309,202712.9988
310,198684.9988
311,192882.9988
312,186687.9988
313,181234.9988
314,178846.9988
315,178486.9988
316,179470.9988
317,182667.9988
318,187846.9988
319,195930.9988
320,204133.9988
321,209610.9988
322,207092.9988
323,200660.9988
324,192328.9988
325,184468.9988
326,177488.9988
327,172294.9988
328,169646.9988
329,170869.9988
330,178005.9988
331,190680.9988
332,192623.9988
333,192513.9988
334,190453.9988
335,186323.9988
336,180395.9988
337,175444.9988
338,173378.9988
339,172794.9988
340,173946.9988
341,176267.9988
342,180720.9988
343,187518.9988
344,195853.9988
345,201423.9988
346,196570.9988
347,186814.9988
348,177745.9988
349,171217.9988
350,166079.9988
351,161602.9988
352,159393.9988
353,160247.9988
354,167260.9988
355,180765.9988
356,183938.9988
357,185208.9988
358,183089.9988
359,179292.9988
360,174299.9988
361,170250.9988
362,168830.9988
363,168714.9988
364,169916.9988
365,173056.9988
366,179630.9988
367,189041.9988
368,196991.9988
369,198584.9988
370,195531.9988
371,190955.9988
372,185803.9988
373,181174.9988
374,176909.9988
375,173902.9988
376,171777.9988
377,171948.9988
378,177690.9988
379,186804.9988
380,186835.9988
381,183279.9988
382,176251.9988
383,167591.9988
384,158106.9988
385,150500.9988
386,146672.9988
387,145008.9988
388,145369.9988
389,148125.9988
390,155890.9988
391,171226.9988
392,180511.9988
393,178070.9988
394,174659.9988
395,172952.9988
396,171374.9988
397,169821.9988
398,168640.9988
399,166960.9988
400,165833.9988
401,167019.9988
402,171937.9988
403,180505.9988
404,180969.9988
405,177092.9988
406,170885.9988
407,162070.9988
408,152769.9988
409,145814.9988
410,142765.9988
411,141621.9988
412,142475.9988
413,145659.9988
414,154297.9988
415,170604.9988
416,181850.9988
417,181738.9988
418,181241.9988
419,180645.9988
420,178882.9988
421,176389.9988
422,174227.9988
423,172543.9988
424,171428.9988
425,173386.9988
426,180352.9988
427,192899.9988
428,195083.9988
429,193124.9988
430,188649.9988
431,181456.9988
432,172898.9988
433,166871.9988
434,164539.9988
435,164482.9988
436,166067.9988
437,170197.9988
438,180346.9988
439,197881.9988
440,208750.9988
441,205864.9988
442,198983.9988
443,192208.9988
444,185836.9988
445,180067.9988
446,175923.9988
447,172794.9988
448,170894.9988
449,171843.9988
450,177222.9988
451,188754.9988
452,191036.9988
453,188848.9988
454,183936.9988
455,175822.9988
456,166709.9988
457,159720.9988
458,156566.9988
459,155287.9988
460,155669.9988
461,158385.9988
462,166116.9988
463,180994.9988
464,189971.9988
465,187257.9988
466,182636.9988
467,179205.9988
468,176075.9988
469,173367.9988
470,172080.9988
471,170513.9988
472,169700.9988
473,170214.9988
474,173555.9988
475,179421.9988
476,177874.9988
477,173541.9988
478,168229.9988
479,161384.9988
480,153390.9988
481,146038.9988
482,141374.9988
483,138722.9988
484,137426.9988
485,137955.9988
486,140590.9988
487,145331.9988
488,151293.9988
489,157420.9988
490,162933.9988
491,166844.9988
492,167901.9988
493,167897.9988
494,166582.9988
495,165056.9988
496,164097.9988
497,164653.9988
498,167699.9988
499,174478.9988
500,173329.9988
501,169554.9988
502,165184.9988
503,159328.9988
504,152760.9988
505,146355.9988
506,142272.9988
507,140076.9988
508,139547.9988
509,140256.9988
510,142786.9988
511,147095.9988
512,153159.9988
513,160652.9988
514,166223.9988
515,167751.9988
516,167411.9988
517,168006.9988
518,167925.9988
519,167319.9988
520,166968.9988
521,167504.9988
522,171473.9988
523,179236.9988
524,179650.9988
525,176274.9988
526,169950.9988
527,162569.9988
528,154249.9988
529,146371.9988
530,142217.9988
531,140305.9988
532,140120.9988
533,142441.9988
534,149491.9988
535,163480.9988
536,173045.9988
537,173697.9988
538,174875.9988
539,176305.9988
540,176392.9988
541,175957.9988
542,174964.9988
543,173707.9988
544,172936.9988
545,172788.9988
546,175904.9988
547,184332.9988
548,185139.9988
549,181070.9988
550,174003.9988
551,164492.9988
552,154328.9988
553,146196.9988
554,141838.9988
555,140332.9988
556,140178.9988
557,142238.9988
558,149908.9988
559,165058.9988
560,174911.9988
561,174542.9988
562,173392.9988
563,172360.9988
564,170946.9988
565,169514.9988
566,168646.9988
567,167516.9988
568,166663.9988
569,166844.9988
570,169376.9988
571,180201.9988
572,182231.9988
573,179633.9988
574,174042.9988
575,165906.9988
576,156935.9988
577,150012.9988
578,146460.9988
579,145218.9988
580,145429.9988
581,148108.9988
582,156357.9988
583,172088.9988
584,181132.9988
585,179886.9988
586,176571.9988
587,174695.9988
588,172944.9988
589,171677.9988
590,170828.9988
591,169855.9988
592,169214.9988
593,169672.9988
594,172472.9988
595,182006.9988
596,183053.9988
597,179313.9988
598,173001.9988
599,163762.9988
600,153763.9988
601,145849.9988
602,141220.9988
603,138780.9988
604,137914.9988
605,139515.9988
606,145890.9988
607,159791.9988
608,168182.9988
609,167831.9988
610,168963.9988
611,170595.9988
612,171339.9988
613,171342.9988
614,170994.9988
615,170584.9988
616,169910.9988
617,170757.9988
618,173547.9988
619,180812.9988
620,180959.9988
621,176722.9988
622,170122.9988
623,160512.9988
624,150273.9988
625,142174.9988
626,137644.9988
627,135307.9988
628,134418.9988
629,136173.9988
630,142501.9988
631,156384.9988
632,166445.9988
633,167819.9988
634,169622.9988
635,170782.9988
636,170832.9988
637,169657.9988
638,168547.9988
639,166590.9988
640,164844.9988
641,164113.9988
642,166239.9988
643,174337.9988
644,175079.9988
645,172491.9988
646,169025.9988
647,163785.9988
648,157461.9988
649,151727.9988
650,148606.9988
651,147453.9988
652,147943.9988
653,149914.9988
654,153737.9988
655,160580.9988
656,168138.9988
657,174099.9988
658,174779.9988
659,172115.9988
660,168685.9988
661,165113.9988
662,161715.9988
663,158825.9988
664,157163.9988
665,157112.9988
666,160528.9988
667,170638.9988
668,172615.9988
669,171055.9988
670,168486.9988
671,164402.9988
672,159277.9988
673,154555.9988
674,152046.9988
675,151576.9988
676,152364.9988
677,154587.9988
678,158298.9988
679,164645.9988
680,172005.9988
681,179130.9988
682,178885.9988
683,173461.9988
684,167308.9988
685,163526.9988
686,160544.9988
687,157795.9988
688,155964.9988
689,156886.9988
690,161690.9988
691,174345.9988
692,179741.9988
693,179973.9988
694,177238.9988
695,171328.9988
696,164255.9988
697,159220.9988
698,157494.9988
699,157877.9988
700,159787.9988
701,164534.9988
702,174731.9988
703,192902.9988
704,203378.9988
705,200305.9988
706,191425.9988
707,183197.9988
708,176809.9988
709,171895.9988
710,168317.9988
711,165403.9988
712,163448.9988
713,163496.9988
714,167094.9988
715,179697.9988
716,184184.9988
717,183218.9988
718,178383.9988
719,171055.9988
720,162097.9988
721,155927.9988
722,153343.9988
723,152691.9988
724,153659.9988
725,156951.9988
726,165893.9988
727,182181.9988
728,191025.9988
729,186946.9988
730,180334.9988
731,175009.9988
732,170822.9988
733,167778.9988
734,165798.9988
735,164088.9988
736,162667.9988
737,163065.9988
738,165579.9988
739,176061.9988
740,179044.9988
741,176200.9988
742,170529.9988
743,161706.9988
744,152021.9988
745,144863.9988
746,140919.9988
747,139174.9988
748,138768.9988
749,140583.9988
750,147996.9988
751,162667.9988
752,170917.9988
753,169153.9988
754,167337.9988
755,167037.9988
756,166422.9988
757,165818.9988
758,165581.9988
759,165339.9988
760,165329.9988
761,166281.9988
762,169468.9988
763,177087.9988
764,177304.9988
765,173259.9988
766,167259.9988
767,157959.9988
768,147466.9988
769,139693.9988
770,135168.9988
771,132495.9988
772,131889.9988
773,133918.9988
774,140677.9988
775,155047.9988
776,164538.9988
777,164291.9988
778,164643.9988
779,165085.9988
780,165251.9988
781,164950.9988
782,165011.9988
783,164462.9988
784,164014.9988
785,163625.9988
786,165003.9988
787,174132.9988
788,176629.9988
789,174088.9988
790,168638.9988
791,160147.9988
792,150908.9988
793,143836.9988
794,140601.9988
795,139241.9988
796,139821.9988
797,142438.9988
798,150649.9988
799,166057.9988
800,176012.9988
801,175231.9988
802,172876.9988
803,171264.9988
804,169140.9988
805,166853.9988
806,165093.9988
807,163154.9988
808,161649.9988
809,161746.9988
810,164624.9988
811,173363.9988
812,173815.9988
813,170897.9988
814,166923.9988
815,161037.9988
816,153571.9988
817,146594.9988
818,141844.9988
819,139053.9988
820,137858.9988
821,138113.9988
822,140195.9988
823,144608.9988
824,149754.9988
825,156227.9988
826,162161.9988
827,164842.9988
828,165308.9988
829,164773.9988
830,163341.9988
831,161795.9988
832,160699.9988
833,160790.9988
834,162702.9988
835,169577.9988
836,169030.9988
837,165397.9988
838,160493.9988
839,154004.9988
840,146438.9988
841,139493.9988
842,134615.9988
843,131594.9988
844,130221.9988
845,129860.9988
846,131401.9988
847,134849.9988
848,139990.9988
849,147973.9988
850,155607.9988
851,158693.9988
852,159640.9988
853,161099.9988
854,162313.9988
855,162685.9988
856,163013.9988
857,164061.9988
858,166516.9988
859,171634.9988
860,171001.9988
861,168508.9988
862,164525.9988
863,161950.9988
864,153500.9988
865,145790.9988
866,141718.9988
867,139988.9988
868,140233.9988
869,142986.9988
870,151128.9988
871,166332.9988
872,176511.9988
873,177172.9988
874,177678.9988
875,177945.9988
876,177105.9988
877,176117.9988
878,174808.9988
